celebrity_name,season,avg_score,score_std,weeks_survived,final_placement,top_3,age,industry,us_born
John O'Hurley,1,8.055555555555555,1.0786937688304221,6,2,True,50,Actor/Actress,True
Kelly Monaco,1,7.111111111111111,1.7682033847599496,6,1,True,29,Actor/Actress,True
Evander Holyfield,1,5.0,0.9428090415820634,3,5,False,42,Athlete,True
Rachel Hunter,1,7.916666666666667,0.9537935951882998,4,4,False,35,Model,False
Joey McIntyre,1,7.033333333333333,0.6944222218666554,5,3,True,32,Singer/Rapper,True
Trista Sutter,1,6.166666666666667,0.37267799624996495,2,6,False,32,TV Personality,True
Tatum O'Neal,2,6.666666666666667,1.1055415967851332,2,9,False,42,Actor/Actress,True
Tia Carrere,2,7.666666666666667,0.8692269873603531,5,6,False,39,Actor/Actress,True
George Hamilton,2,7.222222222222222,0.7856742013183862,6,5,False,66,Actor/Actress,True
Lisa Rinna,2,8.023809523809524,1.159599586846278,7,4,False,42,Actor/Actress,True
Stacy Keibler,2,9.173604166666667,0.9248080487679442,8,3,True,26,Athlete,True
Jerry Rice,2,7.506941666666667,0.8129114106698357,8,2,True,43,Athlete,True
Giselle Fernandez,2,7.666666666666667,0.4714045207910317,3,8,False,44,News Anchor,False
Master P,2,4.166666666666667,1.2133516482134197,4,7,False,35,Singer/Rapper,True
Drew Lachey,2,9.145825,0.5799679712780124,8,1,True,29,Singer/Rapper,True
Kenny Mayne,2,4.333333333333333,0.4714045207910317,1,10,False,46,Sports Broadcaster,True
Harry Hamlin,3,6.666666666666667,0.816496580927726,3,9,False,54,Actor/Actress,True
Vivica A. Fox,3,8.083333333333334,0.759202798262025,4,8,False,42,Actor/Actress,True
Monique Coleman,3,8.3125,0.976947840641113,8,4,False,25,Actor/Actress,True
Joey Lawrence,3,8.62962962962963,1.0592851589685255,9,3,True,30,Actor/Actress,True
Mario Lopez,3,8.955553333333334,1.0860492679841411,10,2,True,32,Actor/Actress,True
Emmitt Smith,3,8.588886666666667,1.070419394048686,10,1,True,37,Athlete,True
Shanna Moakler,3,6.666666666666667,0.9428090415820632,2,10,False,31,Model,True
Willa Ford,3,8.133333333333333,0.9568466729604882,5,7,False,25,Singer/Rapper,True
Sara Evans,3,7.0,1.2110601416389966,5,6,False,35,Singer/Rapper,True
Jerry Springer,3,6.809523809523809,0.9937446073671052,7,5,False,62,TV Personality,False
Tucker Carlson,3,4.0,0.816496580927726,1,11,False,37,TV Personality,True
John Ratzenberger,4,6.357142857142857,0.7889543583705186,7,6,False,59,Actor/Actress,True
Ian Ziering,4,8.092592592592593,0.828173324999922,9,4,False,42,Actor/Actress,True
Clyde Drexler,4,5.2,0.7483314773547882,5,8,False,44,Athlete,True
Laila Ali,4,8.744439999999999,1.1019586155568637,10,3,True,29,Athlete,True
Apolo Anton Ohno,4,8.961106666666666,1.0098404226851334,10,1,True,24,Athlete,True
Shandi Finnessey,4,6.666666666666667,0.4714045207910317,3,10,False,28,Beauty Pagent,True
Paulina Porizkova,4,6.666666666666667,0.4714045207910317,2,11,False,41,Model,False
Heather Mills,4,7.388888888888889,0.7556372504853023,6,7,False,39,Model,False
Billy Ray Cyrus,4,6.333333333333333,0.9204467514322718,8,5,False,45,Singer/Rapper,True
Joey Fatone,4,8.922216666666666,0.7814152246974004,10,2,True,30,Singer/Rapper,True
Leeza Gibbons,4,6.333333333333333,1.247219128924647,4,9,False,50,TV Personality,True
Cameron Mathison,5,8.083333333333334,0.7728015412913087,8,5,False,38,Actor/Actress,False
Jane Seymour,5,8.142857142857142,0.7581753965757456,7,6,False,56,Actor/Actress,False
Sabrina Bryan,5,9.0,0.6666666666666666,6,7,False,23,Actor/Actress,True
Jennie Garth,5,8.425925925925926,0.9398946326258905,9,4,False,35,Actor/Actress,True
Floyd Mayweather Jr. ,5,6.916666666666667,0.6400954789890507,4,9,False,30,Athlete,True
Josie Maran,5,5.333333333333333,0.4714045207910317,1,12,False,29,Model,True
Albert Reed,5,7.0,0.0,2,11,False,22,Model,True
Helio Castroneves,5,8.88333,0.7393034510717956,10,1,True,32,Racing Driver,False
Mel B,5,9.077773333333335,0.795509744307943,10,2,True,32,Singer/Rapper,False
Wayne Newton,5,5.777777777777778,0.6285393610547089,3,10,False,65,Singer/Rapper,True
Marie Osmond,5,8.083333333333334,0.7861650943380504,10,3,True,47,Singer/Rapper,True
Mark Cuban,5,6.8,0.541602560309064,5,8,False,49,TV Personality,True
Cristian de la Fuente,6,8.25,0.9895285072531598,10,3,True,34,Actor/Actress,False
Steve Guttenberg,6,6.111111111111111,0.7370277311900888,3,10,False,49,Actor/Actress,True
Priscilla Presley,6,7.6,0.7118052168020874,5,8,False,62,Actor/Actress,True
Marlee Matlin,6,7.444444444444445,0.49690399499995325,6,7,False,42,Actor/Actress,True
Shannon Elizabeth,6,8.071428571428571,0.7119007803679075,7,6,False,34,Actor/Actress,True
Marissa Jaret Winokur,6,7.7407407407407405,1.0126091195920235,9,4,False,35,Actor/Actress,True
Jason Taylor,6,8.716666666666667,0.8234412884690417,10,2,True,33,Athlete,True
Kristi Yamaguchi,6,9.4,0.5385164807134504,10,1,True,36,Athlete,True
Monica Seles,6,5.0,0.0,2,11,False,34,Athlete,False
Penn Jillette,6,5.5,0.5,2,12,False,53,Magician,True
Adam Carolla,6,6.166666666666667,0.7993052538854533,4,9,False,43,Radio Personality,True
Mario,6,8.416666666666666,0.8374896350934076,8,5,False,21,Singer/Rapper,True
Ted McGinley,7,6.166666666666667,0.23570226039551584,1,12,False,50,Actor/Actress,True
Cloris Leachman,7,5.833333333333333,1.0137937550497031,6,7,False,82,Actor/Actress,True
Susan Lucci,7,7.309523809523809,0.6632565846278151,7,6,False,61,Actor/Actress,True
Cody Linley,7,7.611111111111111,0.7856742013183862,9,4,False,18,Actor/Actress,True
Misty May-Treanor,7,7.0,0.28867513459481287,2,10,False,31,Athlete,True
Maurice Greene,7,7.479166666666667,0.9626262543456601,8,5,False,34,Athlete,True
Warren Sapp,7,8.083333333333334,0.7754926749421228,10,2,True,35,Athlete,True
Jeffrey Ross,7,4.0,0.0,1,13,False,43,Comedian,True
Toni Braxton,7,7.433333333333334,0.47842333648024404,5,8,False,40,Singer/Rapper,True
Lance Bass,7,8.116666666666667,1.0930334954713061,10,3,True,29,Singer/Rapper,True
Kim Kardashian,7,5.916666666666667,0.4487637339278754,2,11,False,27,TV Personality,True
Rocco DiSpirito,7,5.958333333333333,0.5936586186989585,4,9,False,41,TV Personality,True
Brooke Burke,7,8.983333333333333,0.8414603707576226,10,1,True,37,TV Personality,True
Gilles Marini,8,9.227272727272727,0.616575453011388,11,2,True,33,Actor/Actress,False
Denise Richards,8,6.111111111111111,0.7370277311900888,3,12,False,38,Actor/Actress,True
David Alan Grier,8,6.933333333333334,0.9285592184789414,5,9,False,52,Actor/Actress,True
Lawrence Taylor,8,6.571428571428571,0.7911070345636263,7,7,False,50,Athlete,True
Ty Murray,8,7.266666666666667,1.2023125864580955,10,4,False,39,Athlete,True
Shawn Johnson,8,8.818181818181818,0.7366815624935283,11,1,True,17,Athlete,True
Steve Wozniak,8,4.333333333333333,0.9428090415820632,4,10,False,58,Entrepreneur,True
Belinda Carlisle,8,5.833333333333333,0.372677996249965,2,13,False,50,Singer/Rapper,True
Chuck Wicks,8,7.645833333333333,0.8597379284151395,8,6,False,29,Singer/Rapper,True
Lil' Kim,8,8.518518518518519,0.9075963522105811,9,5,False,34,Singer/Rapper,True
Steve-O,8,5.277777777777778,0.7307192465536614,6,8,False,34,TV Personality,False
Holly Madison,8,5.75,0.4330127018922193,4,11,False,30,TV Personality,True
Melissa Rycroft,8,8.893939393939394,0.7761362712039817,11,3,True,26,TV Personality,True
Ashley Hamiliton,9,6.3333,0.816496580927726,1,16,False,34,Actor/Actress,True
Debi Mazar,9,6.666666666666667,0.816496580927726,3,12,False,45,Actor/Actress,True
Melissa Joan Hart,9,7.611105555555557,1.1290203882974648,6,9,False,33,Actor/Actress,True
Mark Dacascos,9,8.071419047619047,1.5656362223037539,7,6,False,45,Actor/Actress,True
Chuck Liddell,9,6.25,0.82915619758885,4,11,False,39,Athlete,True
Natalie Coughlin,9,7.999986666666667,0.8432582315966776,5,10,False,27,Athlete,True
Louie Vito,9,7.1111,1.3425450313159375,6,8,False,21,Athlete,True
Michael Irvin,9,6.452371428571428,1.1537109603952171,7,7,False,43,Athlete,True
Joanna Krupa,9,9.018511111111112,1.6300384168009394,9,4,False,30,Model,False
Kathy Ireland,9,6.333316666666666,0.4713927358253296,2,14,False,46,Model,True
Tom DeLay,9,5.888877777777778,0.8748798860767851,3,13,False,62,Politician,True
Macy Gray,9,6.3333,0.816496580927726,1,15,False,42,Singer/Rapper,True
Aaron Carter,9,8.604154166666667,1.6285842417519085,8,5,False,21,Singer/Rapper,True
Mya,9,9.477766666666664,1.0744480066010123,10,2,True,29,Singer/Rapper,True
Donny Osmond,9,8.822206666666666,1.037195958962861,10,1,True,51,Singer/Rapper,True
Kelly Osbourne,9,8.157386666666666,1.1238068635174328,10,3,True,24,TV Personality,False
Aiden Turner,10,5.875,0.739509972887452,4,9,False,32,Actor/Actress,False
Shannen Doherty,10,6.333333333333333,0.4714045207910317,2,11,False,38,Actor/Actress,True
Niecy Nash,10,6.999991666666666,0.9965077913713917,8,5,False,40,Actor/Actress,True
Buzz Aldrin,10,4.333333333333333,0.4714045207910317,3,10,False,80,Astronaut,True
Chad Ochocinco,10,7.388885185185186,1.5455960268773465,9,4,False,32,Athlete,True
Evan Lysacek,10,8.762956666666668,0.6330939165101985,10,2,True,24,Athlete,True
Pamela Anderson,10,7.809514285714285,1.1629987046161214,7,6,False,42,Model,False
Nicole Scherzinger,10,9.359253333333333,1.3403854574296488,10,1,True,31,Singer/Rapper,True
Erin Andrews,10,8.31666,1.3942201769208957,10,3,True,32,Sports Broadcaster,True
Kate Gosselin,10,5.133333333333334,0.28674417556808757,5,8,False,35,TV Personality,True
Jake Pavelka,10,7.111105555555556,0.7677842097535696,6,7,False,32,TV Personality,True
David Hasselhoff,11,5.0,0.0,1,12,False,58,Actor/Actress,True
Florence Henderson,11,6.366666666666666,0.5312459150169743,5,8,False,76,Actor/Actress,True
Kyle Massey,11,8.252680645161291,1.2691974508731134,10,2,True,19,Actor/Actress,True
Jennifer Grey,11,9.0,0.8131975913519697,10,1,True,50,Actor/Actress,True
Rick Fox,11,7.954545454545454,1.086163922304411,7,6,False,41,Athlete,False
Kurt Warner,11,7.399996000000001,1.0360182753137128,8,5,False,39,Athlete,True
Margaret Cho,11,5.666666666666667,0.4714045207910317,3,10,False,41,Comedian,True
Michael Bolton,11,4.666666666666667,0.9428090415820634,2,11,False,57,Singer/Rapper,True
Brandy,11,8.87499642857143,1.382008652929843,9,4,False,31,Singer/Rapper,True
The Situation,11,5.583333333333333,0.8374896350934075,4,9,False,28,TV Personality,True
Audrina Patridge,11,8.1111,1.3866444088758543,6,7,False,25,TV Personality,True
Bristol Palin,11,7.392464516129032,1.3323465132320271,10,3,True,19,TV Personality,True
Ralph Macchio,12,7.75,0.57476703355111,9,4,False,49,Actor/Actress,True
Chelsea Kane,12,8.634406451612904,1.6392458694788703,10,3,True,22,Actor/Actress,True
Kirstie Alley,12,7.951609677419356,0.9420375368710578,10,2,True,60,Actor/Actress,True
Hines Ward,12,8.634406451612904,0.9210957296525607,10,1,True,35,Athlete,False
Sugar Ray Leonard,12,6.25,0.7216878364870323,4,9,False,54,Athlete,True
Chris Jericho,12,7.444444444444445,0.8314794192830981,6,7,False,40,Athlete,True
Petra Nemcova,12,7.066666666666666,0.9977753031397179,5,8,False,31,Model,False
Mike Catherwood,12,5.0,0.816496580927726,2,11,False,32,Radio Personality,True
Romeo,12,7.8,1.0392304845413265,8,5,False,21,Singer/Rapper,True
Wendy Williams,12,5.111111111111111,0.5665577237325317,3,10,False,46,TV Personality,True
Kendra Wilkinson,12,7.068181818181818,0.9206649591149589,7,6,False,25,TV Personality,True
Elisabetta Canalis,13,6.0,1.0,2,11,False,33,Actor/Actress,False
David Arquette,13,7.357142857142857,0.9404008408634048,7,6,False,40,Actor/Actress,True
Ricki Lake,13,8.866660000000001,1.222012638668957,10,3,True,42,Actor/Actress,True
J.R. Martinez,13,8.772216666666667,0.9836436109632843,10,1,True,28,Actor/Actress,True
Metta World Peace (Ron),13,4.666666666666667,0.4714045207910317,1,12,False,31,Athlete,True
Hope Solo,13,7.685177777777777,0.8029393876544566,9,4,False,30,Athlete,True
Chynna Phillips,13,7.5,0.7637626158259734,4,9,False,43,Singer/Rapper,True
Kristin Cavallari,13,7.222222222222222,0.7856742013183862,3,10,False,24,TV Personality,True
Carson Kressley,13,6.466666666666667,0.8055363982396382,5,8,False,41,TV Personality,True
Chaz Bono,13,6.277777777777778,0.6502611061510902,6,7,False,42,TV Personality,True
Nancy Grace,13,7.041666666666667,0.8650224788344456,8,5,False,51,TV Personality,True
Rob Kardashian,13,8.127766666666666,1.4144258096092879,10,2,True,24,TV Personality,True
William Levy,14,9.255553333333333,1.3036503924834382,10,3,True,31,Actor/Actress,False
Jack Wagner,14,7.555555555555555,0.49690399499995325,3,11,False,52,Actor/Actress,True
Sherri Sheperd,14,7.583333333333333,0.4930066485916347,4,10,False,44,Actor/Actress,True
Jaleel White,14,8.642847619047618,1.6412821990078506,7,7,False,35,Actor/Actress,True
Roshon Fegan,14,8.666658333333332,0.6871761867215876,8,6,False,20,Actor/Actress,True
Melissa Gilbert,14,7.75,1.0897247358851685,8,5,False,47,Actor/Actress,True
Martina Navratilova,14,6.166666666666667,0.6871842709362768,2,12,False,55,Athlete,False
Donald Driver,14,9.038883333333334,1.1325761905447636,10,1,True,37,Athlete,True
Gavin DeGraw,14,7.133333333333334,0.7180219742846006,5,9,False,35,Singer/Rapper,True
Gladys Knight,14,7.333333333333333,0.816496580927726,6,8,False,67,Singer/Rapper,True
Katherine Jenkins,14,9.516663333333334,1.3404929027496646,10,2,True,31,Singer/Rapper,False
Maria Menounos,14,8.907403703703705,0.9561684081798024,9,4,False,33,TV Personality,True
Gilles Marini,15,9.3211,0.9364219929070442,8,6,False,36,Actor/Actress,False
Sabrina Bryan,15,8.881578947368421,0.8166379289043632,6,8,False,28,Actor/Actress,True
Kirstie Alley,15,8.049996,0.9991611815838323,8,7,False,61,Actor/Actress,True
Kelly Monaco,15,9.074361290322582,1.2592394764883772,10,3,True,36,Actor/Actress,True
Apolo Anton Ohno,15,9.12995357142857,1.05068619431104,9,5,False,30,Athlete,True
Emmitt Smith,15,9.037689285714286,1.0767183566411693,9,4,False,43,Athlete,True
Shawn Johnson,15,9.468625806451612,1.3539680498369189,10,2,True,20,Athlete,True
Pamela Anderson,15,5.666666666666667,0.23570226039551584,1,13,False,45,Model,False
Helio Castroneves,15,7.777777777777778,0.5826715823167509,3,10,False,37,Racing Driver,False
Joey Fatone,15,7.166666666666667,0.372677996249965,2,12,False,35,Singer/Rapper,True
Drew Lachey,15,7.555555555555555,0.3685138655950444,3,11,False,36,Singer/Rapper,True
Bristol Palin,15,7.076923076923077,0.8049403667867828,4,9,False,21,TV Personality,True
Melissa Rycroft,15,9.463248387096773,1.4700786101146952,10,1,True,29,TV Personality,True
Ingo Rademacher,16,7.5,0.73282810879294,9,5,False,41,Actor/Actress,False
Zendaya,16,9.099993333333334,0.7195717865199798,10,2,True,16,Actor/Actress,True
Dorothy Hamill,16,6.0,1.0,2,12,False,56,Athlete,True
Victor Ortiz,16,6.555555555555555,0.6643478190611887,6,8,False,26,Athlete,True
Alexandra Raisman,16,8.816666666666666,1.091507622002196,10,4,False,18,Athlete,True
Jacoby Jones,16,8.39999,0.9374855260571582,10,3,True,28,Athlete,True
D. L. Hughley,16,5.533333333333333,1.0241527663824812,5,9,False,50,Comedian,True
Andy Dick,16,6.309523809523809,0.6632565846278151,7,7,False,47,Comedian,True
Wynonna Judd,16,5.666666666666667,0.4714045207910317,3,11,False,48,Singer/Rapper,True
Kellie Pickler,16,8.916666666666666,0.9136313382443831,10,1,True,26,Singer/Rapper,True
Lisa Vanderpump,16,6.25,0.4330127018922193,4,10,False,52,TV Personality,False
Sean Lowe,16,7.166666666666667,0.6718548123582124,8,6,False,29,TV Personality,True
Valerie Harper,17,6.166666666666667,0.6871842709362768,4,10,False,74,Actor/Actress,True
Brant Daugherty,17,8.604166666666666,1.1178398687746927,8,7,False,28,Actor/Actress,True
Elizabeth Berkley Lauren,17,8.851844444444444,0.821922201118426,9,6,False,39,Actor/Actress,True
Leah Remini,17,8.29031935483871,0.7874053247418649,10,5,False,43,Actor/Actress,True
Corbin Bleu,17,9.225479411764708,0.6599458573065858,11,2,True,24,Actor/Actress,True
Amber Riley,17,9.230385294117646,0.9956362095878999,11,1,True,27,Actor/Actress,True
Keyshawn Johnson,17,5.833333333333333,0.372677996249965,2,12,False,41,Athlete,True
Bill Engvall,17,7.573523529411765,0.7255675105650357,11,4,False,56,Comedian,True
Christina Milian,17,8.333333333333334,0.7888106377466155,5,9,False,31,Singer/Rapper,True
"Nicole ""Snooki"" Polizzi",17,8.380952380952381,1.0454523047666737,7,8,False,25,TV Personality,False
Jack Osbourne,17,8.705873529411765,0.8324058047076994,11,3,True,27,TV Personality,False
Bill Nye,17,5.222222222222222,0.6285393610547089,3,11,False,57,TV Personality,True
Billy Dee Williams,18,5.0,0.0,2,10,False,76,Actor/Actress,True
Danica McKellar,18,8.833333333333334,0.699205898780101,8,6,False,39,Actor/Actress,True
James Maslow,18,8.91891891891892,0.8343431913747639,10,4,False,23,Actor/Actress,True
Candace Cameron Bure,18,8.32431891891892,0.804401817648785,10,3,True,37,Actor/Actress,True
Sean Avery,18,6.833333333333333,0.372677996249965,2,11,False,33,Athlete,False
Diana Nyad,18,6.0,0.0,1,12,False,64,Athlete,True
Charlie White,18,9.044117647058824,0.7109195273689305,9,5,False,26,Athlete,True
Amy Purdy,18,9.166664864864865,0.7290608546936281,10,2,True,34,Athlete,True
Meryl Davis,18,9.405405405405405,0.7519150131483002,10,1,True,27,Athlete,True
