celebrity_name,season,avg_score,score_std,weeks_survived,final_placement,top_3,age,industry,us_born,popularity_ratio
John O'Hurley,1,8.055555555555555,1.078693768830422,6,2,True,50,Actor/Actress,True,0.0086455331412103
Kelly Monaco,1,7.111111111111111,1.7682033847599496,6,1,True,29,Actor/Actress,True,0.7216642754662841
Evander Holyfield,1,5.0,0.9428090415820634,3,5,False,42,Athlete,True,0.0043041606886657
Rachel Hunter,1,7.916666666666667,0.9537935951882998,4,4,False,35,Model,False,0.2338593974175035
Joey McIntyre,1,7.033333333333333,0.6944222218666554,5,3,True,32,Singer/Rapper,True,0.0230547550432276
Trista Sutter,1,6.166666666666667,0.3726779962499649,2,6,False,32,TV Personality,True,0.015850144092219
Tatum O'Neal,2,6.666666666666667,1.1055415967851332,2,9,False,42,Actor/Actress,True,0.0057049714751426
Tia Carrere,2,7.666666666666667,0.8692269873603531,5,6,False,39,Actor/Actress,True,0.0146699266503667
George Hamilton,2,7.222222222222222,0.7856742013183862,6,5,False,66,Actor/Actress,True,0.0435139573070607
Lisa Rinna,2,8.023809523809524,1.159599586846278,7,4,False,42,Actor/Actress,True,0.0911330049261083
Stacy Keibler,2,9.173604166666667,0.9248080487679442,8,3,True,26,Athlete,True,0.2607986960065199
Jerry Rice,2,7.506941666666667,0.8129114106698357,8,2,True,43,Athlete,True,0.0456397718011409
Giselle Fernandez,2,7.666666666666667,0.4714045207910317,3,8,False,44,News Anchor,False,0.0162999185004074
Master P,2,4.166666666666667,1.2133516482134197,4,7,False,35,Singer/Rapper,True,0.0285248573757131
Drew Lachey,2,9.145825,0.5799679712780124,8,1,True,29,Singer/Rapper,True,0.0254515599343185
Kenny Mayne,2,4.333333333333333,0.4714045207910317,1,10,False,46,Sports Broadcaster,True,0.0048899755501222
Harry Hamlin,3,6.666666666666667,0.816496580927726,3,9,False,54,Actor/Actress,True,0.0067057837384744
Vivica A. Fox,3,8.083333333333334,0.759202798262025,4,8,False,42,Actor/Actress,True,0.000836820083682
Monique Coleman,3,8.3125,0.976947840641113,8,4,False,25,Actor/Actress,True,0.0108968985750209
Joey Lawrence,3,8.62962962962963,1.0592851589685257,9,3,True,30,Actor/Actress,True,0.0778242677824267
Mario Lopez,3,8.955553333333334,1.0860492679841411,10,2,True,32,Actor/Actress,True,0.1380753138075313
Emmitt Smith,3,8.588886666666667,1.070419394048686,10,1,True,37,Athlete,True,0.0259849119865884
Shanna Moakler,3,6.666666666666667,0.9428090415820632,2,10,False,31,Model,True,0.0686192468619247
Willa Ford,3,8.133333333333333,0.9568466729604882,5,7,False,25,Singer/Rapper,True,0.0846605196982397
Sara Evans,3,7.0,1.2110601416389966,5,6,False,35,Singer/Rapper,True,0.3630203291384317
Jerry Springer,3,6.809523809523809,0.9937446073671052,7,5,False,62,TV Personality,False,0.0528080469404861
Tucker Carlson,3,4.0,0.816496580927726,1,11,False,37,TV Personality,True,0.0117351215423302
John Ratzenberger,4,6.357142857142857,0.7889543583705186,7,6,False,59,Actor/Actress,True,0.0087668030391583
Ian Ziering,4,8.092592592592593,0.828173324999922,9,4,False,42,Actor/Actress,True,0.0151603498542274
Clyde Drexler,4,5.2,0.7483314773547882,5,8,False,44,Athlete,True,0.0075978959672706
Laila Ali,4,8.744439999999999,1.1019586155568637,10,3,True,29,Athlete,True,0.0315604909409701
Apolo Anton Ohno,4,8.961106666666666,1.0098404226851334,10,1,True,24,Athlete,True,0.0169491525423728
Shandi Finnessey,4,6.666666666666667,0.4714045207910317,3,10,False,28,Beauty Pagent,True,0.0134424313267095
Paulina Porizkova,4,6.666666666666667,0.4714045207910317,2,11,False,41,Model,False,0.015780245470485
Heather Mills,4,7.388888888888889,0.7556372504853023,6,7,False,39,Model,False,0.0800701344243132
Billy Ray Cyrus,4,6.333333333333333,0.9204467514322718,8,5,False,45,Singer/Rapper,True,0.0338983050847457
Joey Fatone,4,8.922216666666666,0.7814152246974004,10,2,True,30,Singer/Rapper,True,0.021624780829924
Leeza Gibbons,4,6.333333333333333,1.247219128924647,4,9,False,50,TV Personality,True,0.0140268848626534
Cameron Mathison,5,8.083333333333334,0.7728015412913087,8,5,False,38,Actor/Actress,False,0.0101123595505617
Jane Seymour,5,8.142857142857142,0.7581753965757456,7,6,False,56,Actor/Actress,False,0.0634831460674157
Sabrina Bryan,5,9.0,0.6666666666666666,6,7,False,23,Actor/Actress,True,0.0623595505617977
Jennie Garth,5,8.425925925925926,0.9398946326258903,9,4,False,35,Actor/Actress,True,0.0365168539325842
Floyd Mayweather Jr. ,5,6.916666666666667,0.6400954789890507,4,9,False,30,Athlete,True,0.0005512679162072
Josie Maran,5,5.333333333333333,0.4714045207910317,1,12,False,29,Model,True,0.0179271708683473
Albert Reed,5,7.0,0.0,2,11,False,22,Model,True,0.0207282913165266
Helio Castroneves,5,8.88333,0.7393034510717956,10,1,True,32,Racing Driver,False,0.0179271708683473
Mel B,5,9.077773333333337,0.795509744307943,10,2,True,32,Singer/Rapper,False,0.0140056022408963
Wayne Newton,5,5.777777777777778,0.6285393610547089,3,10,False,65,Singer/Rapper,True,0.0521008403361344
Marie Osmond,5,8.083333333333334,0.7861650943380504,10,3,True,47,Singer/Rapper,True,0.1647058823529411
Mark Cuban,5,6.8,0.541602560309064,5,8,False,49,TV Personality,True,0.0605042016806722
Cristian de la Fuente,6,8.25,0.9895285072531598,10,3,True,34,Actor/Actress,False,0.0123691722169362
Steve Guttenberg,6,6.111111111111111,0.7370277311900888,3,10,False,49,Actor/Actress,True,0.0109419600380589
Priscilla Presley,6,7.6,0.7118052168020874,5,8,False,62,Actor/Actress,True,0.1108468125594671
Marlee Matlin,6,7.444444444444445,0.4969039949999532,6,7,False,42,Actor/Actress,True,0.0356803044719314
Shannon Elizabeth,6,8.071428571428571,0.7119007803679075,7,6,False,34,Actor/Actress,True,0.1470028544243577
Marissa Jaret Winokur,6,7.74074074074074,1.0126091195920237,9,4,False,35,Actor/Actress,True,0.016650808753568
Jason Taylor,6,8.716666666666667,0.8234412884690417,10,2,True,33,Athlete,True,0.0803996194100856
Kristi Yamaguchi,6,9.4,0.5385164807134504,10,1,True,36,Athlete,True,0.0383073496659242
Monica Seles,6,5.0,0.0,2,11,False,34,Athlete,False,0.0227171492204899
Penn Jillette,6,5.5,0.5,2,12,False,53,Magician,True,0.0028544243577545
Adam Carolla,6,6.166666666666667,0.7993052538854533,4,9,False,43,Radio Personality,True,0.0375832540437678
Mario,6,8.416666666666666,0.8374896350934076,8,5,False,21,Singer/Rapper,True,2.162534435261708
Ted McGinley,7,6.166666666666667,0.2357022603955158,1,12,False,50,Actor/Actress,True,0.009090909090909
Cloris Leachman,7,5.833333333333333,1.0137937550497031,6,7,False,82,Actor/Actress,True,0.068595041322314
Susan Lucci,7,7.309523809523809,0.6632565846278151,7,6,False,61,Actor/Actress,True,0.065289256198347
Cody Linley,7,7.611111111111111,0.7856742013183862,9,4,False,18,Actor/Actress,True,0.0553719008264462
Misty May-Treanor,7,7.0,0.2886751345948128,2,10,False,31,Athlete,True,0.0082644628099173
Maurice Greene,7,7.479166666666667,0.96262625434566,8,5,False,34,Athlete,True,0.0016528925619834
Warren Sapp,7,8.083333333333334,0.7754926749421228,10,2,True,35,Athlete,True,0.0413223140495867
Jeffrey Ross,7,4.0,0.0,1,13,False,43,Comedian,True,0.0041322314049586
Toni Braxton,7,7.433333333333334,0.478423336480244,5,8,False,40,Singer/Rapper,True,0.0495867768595041
Lance Bass,7,8.116666666666667,1.093033495471306,10,3,True,29,Singer/Rapper,True,0.028099173553719
Kim Kardashian,7,5.916666666666667,0.4487637339278754,2,11,False,27,TV Personality,True,0.7181818181818181
Rocco DiSpirito,7,5.958333333333333,0.5936586186989585,4,9,False,41,TV Personality,True,0.0095846645367412
Brooke Burke,7,8.983333333333333,0.8414603707576226,10,1,True,37,TV Personality,True,0.1685303514376996
Gilles Marini,8,9.227272727272728,0.616575453011388,11,2,True,33,Actor/Actress,False,0.0411883862255232
Denise Richards,8,6.111111111111111,0.7370277311900888,3,12,False,38,Actor/Actress,True,0.0654962862930452
David Alan Grier,8,6.933333333333334,0.9285592184789414,5,9,False,52,Actor/Actress,True,0.0013504388926401
Lawrence Taylor,8,6.571428571428571,0.7911070345636263,7,7,False,50,Athlete,True,0.0066666666666666
Ty Murray,8,7.266666666666667,1.2023125864580957,10,4,False,39,Athlete,True,0.018
Shawn Johnson,8,8.818181818181818,0.7366815624935283,11,1,True,17,Athlete,True,0.1633333333333333
Steve Wozniak,8,4.333333333333333,0.9428090415820632,4,10,False,58,Entrepreneur,True,0.0312916111850865
Belinda Carlisle,8,5.833333333333333,0.372677996249965,2,13,False,50,Singer/Rapper,True,0.0166666666666666
Chuck Wicks,8,7.645833333333333,0.8597379284151395,8,6,False,29,Singer/Rapper,True,0.0366666666666666
Lil' Kim,8,8.518518518518519,0.9075963522105812,9,5,False,34,Singer/Rapper,True,0.1893333333333333
Steve-O,8,5.277777777777778,0.7307192465536614,6,8,False,34,TV Personality,False,0.034
Holly Madison,8,5.75,0.4330127018922193,4,11,False,30,TV Personality,True,0.1126666666666666
Melissa Rycroft,8,8.893939393939394,0.7761362712039817,11,3,True,26,TV Personality,True,0.0946666666666666
Ashley Hamiliton,9,6.3333,0.816496580927726,1,16,False,34,Actor/Actress,True,0.0005512679162072
Debi Mazar,9,6.666666666666667,0.816496580927726,3,12,False,45,Actor/Actress,True,0.015986769570011
Melissa Joan Hart,9,7.611105555555557,1.1290203882974648,6,9,False,33,Actor/Actress,True,0.0402425578831312
Mark Dacascos,9,8.071419047619047,1.565636222303754,7,6,False,45,Actor/Actress,True,0.0137816979051819
Chuck Liddell,9,6.25,0.82915619758885,4,11,False,39,Athlete,True,0.0457552370452039
Natalie Coughlin,9,7.999986666666667,0.8432582315966776,5,10,False,27,Athlete,True,0.0192943770672546
Louie Vito,9,7.1111,1.3425450313159375,6,8,False,21,Athlete,True,0.0297684674751929
Michael Irvin,9,6.452371428571428,1.1537109603952171,7,7,False,43,Athlete,True,0.0132304299889746
Joanna Krupa,9,9.018511111111112,1.6300384168009394,9,4,False,30,Model,False,0.1218302094818081
Kathy Ireland,9,6.333316666666666,0.4713927358253296,2,14,False,46,Model,True,0.0485115766262403
Tom DeLay,9,5.888877777777778,0.8748798860767851,3,13,False,62,Politician,True,0.0474090407938257
Macy Gray,9,6.3333,0.816496580927726,1,15,False,42,Singer/Rapper,True,0.0214994487320837
Aaron Carter,9,8.604154166666667,1.6285842417519083,8,5,False,21,Singer/Rapper,True,0.0821389195148842
Mya,9,9.477766666666664,1.0744480066010125,10,2,True,29,Singer/Rapper,True,0.1422271223814774
Donny Osmond,9,8.822206666666666,1.037195958962861,10,1,True,51,Singer/Rapper,True,0.0463065049614112
Kelly Osbourne,9,8.157386666666666,1.1238068635174328,10,3,True,24,TV Personality,False,0.0562293274531422
Aiden Turner,10,5.875,0.739509972887452,4,9,False,32,Actor/Actress,False,0.0084142394822006
Shannen Doherty,10,6.333333333333333,0.4714045207910317,2,11,False,38,Actor/Actress,True,0.0135922330097087
Niecy Nash,10,6.999991666666666,0.9965077913713916,8,5,False,40,Actor/Actress,True,0.0168284789644012
Buzz Aldrin,10,4.333333333333333,0.4714045207910317,3,10,False,80,Astronaut,True,0.0323624595469255
Chad Ochocinco,10,7.388885185185186,1.5455960268773463,9,4,False,32,Athlete,True,0.0634304207119741
Evan Lysacek,10,8.762956666666668,0.6330939165101985,10,2,True,24,Athlete,True,0.0440129449838187
Pamela Anderson,10,7.809514285714285,1.1629987046161214,7,6,False,42,Model,False,0.148220064724919
Nicole Scherzinger,10,9.359253333333331,1.3403854574296488,10,1,True,31,Singer/Rapper,True,0.0880258899676375
Erin Andrews,10,8.31666,1.3942201769208955,10,3,True,32,Sports Broadcaster,True,0.2550161812297734
Kate Gosselin,10,5.133333333333334,0.2867441755680875,5,8,False,35,TV Personality,True,0.2485436893203883
Jake Pavelka,10,7.111105555555556,0.7677842097535696,6,7,False,32,TV Personality,True,0.0310679611650485
David Hasselhoff,11,5.0,0.0,1,12,False,58,Actor/Actress,True,0.0250391236306729
Florence Henderson,11,6.366666666666666,0.5312459150169743,5,8,False,76,Actor/Actress,True,0.0289514866979655
Kyle Massey,11,8.252680645161291,1.2691974508731134,10,2,True,19,Actor/Actress,True,0.0344287949921752
Jennifer Grey,11,9.0,0.8131975913519697,10,1,True,50,Actor/Actress,True,0.2081377151799686
Rick Fox,11,7.954545454545454,1.086163922304411,7,6,False,41,Athlete,False,0.0821596244131455
Kurt Warner,11,7.399996000000001,1.0360182753137128,8,5,False,39,Athlete,True,0.0336463223787167
Margaret Cho,11,5.666666666666667,0.4714045207910317,3,10,False,41,Comedian,True,0.0179968701095461
Michael Bolton,11,4.666666666666667,0.9428090415820634,2,11,False,57,Singer/Rapper,True,0.0303514376996805
Brandy,11,8.87499642857143,1.382008652929843,9,4,False,31,Singer/Rapper,True,0.1948356807511737
The Situation,11,5.583333333333333,0.8374896350934075,4,9,False,28,TV Personality,True,0.1541471048513301
Audrina Patridge,11,8.1111,1.3866444088758545,6,7,False,25,TV Personality,True,0.069640062597809
Bristol Palin,11,7.392464516129032,1.3323465132320271,10,3,True,19,TV Personality,True,0.1674491392801251
Ralph Macchio,12,7.75,0.57476703355111,9,4,False,49,Actor/Actress,True,0.1058263971462544
Chelsea Kane,12,8.634406451612904,1.6392458694788703,10,3,True,22,Actor/Actress,True,0.1134751773049645
Kirstie Alley,12,7.951609677419356,0.9420375368710578,10,2,True,60,Actor/Actress,True,0.1890606420927467
Hines Ward,12,8.634406451612904,0.9210957296525608,10,1,True,35,Athlete,False,0.1135552913198573
Sugar Ray Leonard,12,6.25,0.7216878364870323,4,9,False,54,Athlete,True,0.0344827586206896
Chris Jericho,12,7.444444444444445,0.8314794192830981,6,7,False,40,Athlete,True,0.0271867612293144
Petra Nemcova,12,7.066666666666666,0.997775303139718,5,8,False,31,Model,False,0.0237812128418549
Mike Catherwood,12,5.0,0.816496580927726,2,11,False,32,Radio Personality,True,0.0142687277051129
Romeo,12,7.8,1.0392304845413265,8,5,False,21,Singer/Rapper,True,0.4161712247324614
Wendy Williams,12,5.111111111111111,0.5665577237325317,3,10,False,46,TV Personality,True,0.1135552913198573
Kendra Wilkinson,12,7.068181818181818,0.9206649591149588,7,6,False,25,TV Personality,True,0.1004756242568371
Elisabetta Canalis,13,6.0,1.0,2,11,False,33,Actor/Actress,False,0.0144110275689223
David Arquette,13,7.357142857142857,0.9404008408634048,7,6,False,40,Actor/Actress,True,0.0526315789473684
Ricki Lake,13,8.866660000000001,1.222012638668957,10,3,True,42,Actor/Actress,True,0.0488721804511278
J.R. Martinez,13,8.772216666666667,0.9836436109632845,10,1,True,28,Actor/Actress,True,0.0294486215538847
Metta World Peace (Ron),13,4.666666666666667,0.4714045207910317,1,12,False,31,Athlete,True,0.0006273525721455
Hope Solo,13,7.685177777777777,0.8029393876544566,9,4,False,30,Athlete,True,0.1998746867167919
Chynna Phillips,13,7.5,0.7637626158259734,4,9,False,43,Singer/Rapper,True,0.0469924812030075
Kristin Cavallari,13,7.222222222222222,0.7856742013183862,3,10,False,24,TV Personality,True,0.0808270676691729
Carson Kressley,13,6.466666666666667,0.8055363982396382,5,8,False,41,TV Personality,True,0.0137844611528822
Chaz Bono,13,6.277777777777778,0.6502611061510902,6,7,False,42,TV Personality,True,0.1516290726817042
Nancy Grace,13,7.041666666666667,0.8650224788344456,8,5,False,51,TV Personality,True,0.3195416931890515
Rob Kardashian,13,8.127766666666666,1.414425809609288,10,2,True,24,TV Personality,True,0.0670426065162907
William Levy,14,9.255553333333332,1.3036503924834382,10,3,True,31,Actor/Actress,False,0.2633378932968536
Jack Wagner,14,7.555555555555555,0.4969039949999532,3,11,False,52,Actor/Actress,True,0.054719562243502
Sherri Sheperd,14,7.583333333333333,0.4930066485916347,4,10,False,44,Actor/Actress,True,0.0005512679162072
Jaleel White,14,8.642847619047618,1.6412821990078506,7,7,False,35,Actor/Actress,True,0.0772913816689466
Roshon Fegan,14,8.666658333333332,0.6871761867215876,8,6,False,20,Actor/Actress,True,0.0430916552667578
Melissa Gilbert,14,7.75,1.0897247358851685,8,5,False,47,Actor/Actress,True,0.1432584269662921
Martina Navratilova,14,6.166666666666667,0.6871842709362768,2,12,False,55,Athlete,False,0.0344101123595505
Donald Driver,14,9.038883333333334,1.1325761905447636,10,1,True,37,Athlete,True,0.0589887640449438
Gavin DeGraw,14,7.133333333333334,0.7180219742846006,5,9,False,35,Singer/Rapper,True,0.1121751025991792
Gladys Knight,14,7.333333333333333,0.816496580927726,6,8,False,67,Singer/Rapper,True,0.1162790697674418
Katherine Jenkins,14,9.516663333333334,1.3404929027496646,10,2,True,31,Singer/Rapper,False,0.0923392612859097
Maria Menounos,14,8.907403703703705,0.9561684081798024,9,4,False,33,TV Personality,True,0.1422708618331053
Gilles Marini,15,9.3211,0.9364219929070442,8,6,False,36,Actor/Actress,False,0.0414847161572052
Sabrina Bryan,15,8.881578947368421,0.8166379289043632,6,8,False,28,Actor/Actress,True,0.0425764192139738
Kirstie Alley,15,8.049996,0.9991611815838324,8,7,False,61,Actor/Actress,True,0.0960698689956331
Kelly Monaco,15,9.074361290322582,1.2592394764883772,10,3,True,36,Actor/Actress,True,0.2046332046332046
Apolo Anton Ohno,15,9.12995357142857,1.05068619431104,9,5,False,30,Athlete,True,0.0049641478212906
Emmitt Smith,15,9.037689285714286,1.076718356641169,9,4,False,43,Athlete,True,0.0573634859349145
Shawn Johnson,15,9.468625806451612,1.3539680498369189,10,2,True,20,Athlete,True,0.1345835631549917
Pamela Anderson,15,5.666666666666667,0.2357022603955158,1,13,False,45,Model,False,0.1036955322669608
Helio Castroneves,15,7.777777777777778,0.5826715823167509,3,10,False,37,Racing Driver,False,0.0044125758411472
Joey Fatone,15,7.166666666666667,0.372677996249965,2,12,False,35,Singer/Rapper,True,0.0121345835631549
Drew Lachey,15,7.555555555555555,0.3685138655950444,3,11,False,36,Singer/Rapper,True,0.0159955874241588
Bristol Palin,15,7.076923076923077,0.8049403667867828,4,9,False,21,TV Personality,True,0.0694980694980695
Melissa Rycroft,15,9.463248387096773,1.4700786101146952,10,1,True,29,TV Personality,True,0.0711527854384997
Ingo Rademacher,16,7.5,0.73282810879294,9,5,False,41,Actor/Actress,False,0.0271062271062271
Zendaya,16,9.099993333333334,0.7195717865199798,10,2,True,16,Actor/Actress,True,0.3172161172161172
Dorothy Hamill,16,6.0,1.0,2,12,False,56,Athlete,True,0.0827838827838827
Victor Ortiz,16,6.555555555555555,0.6643478190611887,6,8,False,26,Athlete,True,0.0307692307692307
Alexandra Raisman,16,8.816666666666666,1.091507622002196,10,4,False,18,Athlete,True,0.0117216117216117
Jacoby Jones,16,8.39999,0.9374855260571582,10,3,True,28,Athlete,True,0.0915750915750915
D. L. Hughley,16,5.533333333333333,1.0241527663824812,5,9,False,50,Comedian,True,0.0005512679162072
Andy Dick,16,6.309523809523809,0.6632565846278151,7,7,False,47,Comedian,True,0.0959706959706959
Wynonna Judd,16,5.666666666666667,0.4714045207910317,3,11,False,48,Singer/Rapper,True,0.0342726580350342
Kellie Pickler,16,8.916666666666666,0.9136313382443833,10,1,True,26,Singer/Rapper,True,0.2041127189642041
Lisa Vanderpump,16,6.25,0.4330127018922193,4,10,False,52,TV Personality,False,0.1203351104341203
Sean Lowe,16,7.166666666666667,0.6718548123582124,8,6,False,29,TV Personality,True,0.1622239146991622
Valerie Harper,17,6.166666666666667,0.6871842709362768,4,10,False,74,Actor/Actress,True,0.0983606557377049
Brant Daugherty,17,8.604166666666666,1.1178398687746929,8,7,False,28,Actor/Actress,True,0.0771456123432979
Elizabeth Berkley Lauren,17,8.851844444444444,0.821922201118426,9,6,False,39,Actor/Actress,True,0.0037278657968313
Leah Remini,17,8.29031935483871,0.7874053247418649,10,5,False,43,Actor/Actress,True,0.1314072693383038
Corbin Bleu,17,9.225479411764708,0.6599458573065858,11,2,True,24,Actor/Actress,True,0.1174277726001863
Amber Riley,17,9.230385294117646,0.9956362095879,11,1,True,27,Actor/Actress,True,0.0726933830382106
Keyshawn Johnson,17,5.833333333333333,0.372677996249965,2,12,False,41,Athlete,True,0.0223671947809878
Bill Engvall,17,7.573523529411765,0.7255675105650357,11,4,False,56,Comedian,True,0.048462255358807
Christina Milian,17,8.333333333333334,0.7888106377466155,5,9,False,31,Singer/Rapper,True,0.1416589002795899
"Nicole ""Snooki"" Polizzi",17,8.380952380952381,1.0454523047666735,7,8,False,25,TV Personality,False,0.0005512679162072
Jack Osbourne,17,8.705873529411765,0.8324058047076994,11,3,True,27,TV Personality,False,0.0456663560111835
Bill Nye,17,5.222222222222222,0.6285393610547089,3,11,False,57,TV Personality,True,0.2469711090400745
Billy Dee Williams,18,5.0,0.0,2,10,False,76,Actor/Actress,True,0.0549180327868852
Danica McKellar,18,8.833333333333334,0.699205898780101,8,6,False,39,Actor/Actress,True,0.1336065573770491
James Maslow,18,8.91891891891892,0.8343431913747639,10,4,False,23,Actor/Actress,True,0.1540983606557377
Candace Cameron Bure,18,8.32431891891892,0.804401817648785,10,3,True,37,Actor/Actress,True,0.030327868852459
Sean Avery,18,6.833333333333333,0.372677996249965,2,11,False,33,Athlete,False,0.0286885245901639
Diana Nyad,18,6.0,0.0,1,12,False,64,Athlete,True,0.0221311475409836
Charlie White,18,9.044117647058824,0.7109195273689305,9,5,False,26,Athlete,True,0.0770491803278688
Amy Purdy,18,9.166664864864863,0.7290608546936281,10,2,True,34,Athlete,True,0.1598360655737704
Meryl Davis,18,9.405405405405403,0.7519150131483002,10,1,True,27,Athlete,True,0.151639344262295
